# sigma mu
4.40000000e-01 2.14843742e-09
5.85438774e-01 2.86408628e-09
7.78951270e-01 3.85256884e-09
1.03642790e+00 5.19056387e-09
1.37901155e+00 6.95320488e-09
1.83483370e+00 9.21564574e-09
2.44132453e+00 1.19315195e-08
3.24828646e+00 1.48175277e-08
4.32198374e+00 1.74608793e-08
5.75058378e+00 1.95602017e-08
7.65139709e+00 2.10444888e-08
1.01805103e+01 2.20092452e-08
1.35456034e+01 2.26022555e-08
1.80230032e+01 2.29542637e-08
2.39803748e+01 2.31588832e-08
3.19069120e+01 2.32763773e-08
4.24535078e+01 2.33433680e-08
5.64862036e+01 2.33814096e-08
7.51573041e+01 2.34029623e-08
1.00000000e+02 2.34151574e-08
