# sigma mu
1.00000000e-03 9.48609382e-15
1.07189132e-03 9.48609382e-15
1.14895100e-03 9.48609382e-15
1.23155060e-03 9.48609382e-15
1.32008840e-03 9.48609382e-15
1.41499130e-03 9.48609382e-15
1.51671689e-03 9.48609382e-15
1.62575567e-03 9.48609382e-15
1.74263339e-03 9.48609382e-15
1.86791360e-03 9.48609382e-15
2.00220037e-03 9.48609382e-15
2.14614120e-03 9.48609382e-15
2.30043012e-03 9.48609382e-15
2.46581108e-03 9.48609382e-15
2.64308149e-03 9.48609382e-15
2.83309610e-03 9.48609382e-15
3.03677112e-03 9.48609382e-15
3.25508860e-03 9.48609382e-15
3.48910121e-03 9.48609382e-15
3.73993730e-03 9.48609382e-15
4.00880633e-03 9.48609382e-15
4.29700470e-03 9.48609382e-15
4.60592204e-03 9.48609382e-15
4.93704785e-03 9.48609382e-15
5.29197874e-03 9.48609382e-15
5.67242607e-03 9.48609382e-15
6.08022426e-03 9.48609382e-15
6.51733960e-03 9.48609382e-15
6.98587975e-03 9.48609382e-15
7.48810386e-03 9.48609382e-15
8.02643352e-03 9.48609382e-15
8.60346442e-03 9.48609382e-15
9.22197882e-03 9.48609382e-15
9.88495905e-03 9.48609382e-15
1.05956018e-02 9.48609382e-15
1.13573336e-02 9.48609382e-15
1.21738273e-02 9.48609382e-15
1.30490198e-02 9.48609382e-15
1.39871310e-02 9.48609382e-15
1.49926843e-02 9.48609382e-15
1.60705282e-02 9.48609382e-15
1.72258597e-02 9.48609382e-15
1.84642494e-02 9.48609382e-15
1.97916687e-02 9.48609382e-15
2.12145178e-02 9.48609382e-15
2.27396575e-02 9.48609390e-15
2.43744415e-02 9.48609949e-15
2.61267523e-02 9.48632381e-15
2.80050389e-02 9.49186281e-15
3.00183581e-02 9.58138979e-15
3.21764175e-02 1.05804932e-14
3.44896226e-02 1.86465796e-14
3.69691271e-02 6.77253982e-14
3.96268864e-02 3.01062552e-13
4.24757155e-02 1.19607021e-12
4.55293507e-02 4.04564321e-12
4.88025158e-02 1.17694281e-11
5.23109931e-02 2.99951229e-11
5.60716994e-02 6.81719840e-11
6.01027678e-02 1.40350613e-10
6.44236351e-02 2.65249717e-10
6.90551352e-02 4.65340602e-10
7.40196000e-02 7.64892754e-10
7.93409667e-02 1.18719933e-09
8.50448934e-02 1.75146395e-09
9.11588830e-02 2.46997721e-09
9.77124154e-02 3.34617038e-09
1.04737090e-01 4.37391388e-09
1.12266777e-01 5.53812040e-09
1.20337784e-01 6.81643880e-09
1.28989026e-01 8.18168191e-09
1.38262217e-01 9.60465163e-09
1.48202071e-01 1.10571509e-08
1.58856513e-01 1.25150637e-08
1.70276917e-01 1.39613038e-08
1.82518349e-01 1.53881869e-08
1.95639834e-01 1.67985652e-08
2.09704640e-01 1.82051624e-08
2.24780583e-01 1.96280482e-08
2.40940356e-01 2.10909045e-08
2.58261876e-01 2.26172630e-08
2.76828663e-01 2.42278759e-08
2.96730241e-01 2.59397998e-08
3.18062569e-01 2.77669800e-08
3.40928507e-01 2.97216212e-08
3.65438307e-01 3.18156460e-08
3.91710149e-01 3.40618800e-08
4.19870708e-01 3.64748937e-08
4.50055768e-01 3.90715060e-08
4.82410870e-01 4.18709149e-08
5.17092024e-01 4.48944140e-08
5.54266452e-01 4.81647228e-08
5.94113398e-01 5.17050578e-08
6.36824994e-01 5.55381511e-08
6.82607183e-01 5.96854566e-08
7.31680714e-01 6.41667492e-08
7.84282206e-01 6.90002141e-08
8.40665289e-01 7.42029844e-08
9.01101825e-01 7.97919707e-08
9.65883224e-01 8.57847760e-08
1.03532184e+00 9.22004858e-08
1.10975250e+00 9.90601242e-08
1.18953407e+00 1.06386549e-07
1.27505124e+00 1.14203567e-07
1.36671636e+00 1.22534129e-07
1.46497140e+00 1.31397637e-07
1.57029012e+00 1.40806620e-07
1.68318035e+00 1.50763208e-07
1.80418641e+00 1.61255912e-07
1.93389175e+00 1.72257148e-07
2.07292178e+00 1.83721836e-07
2.22194686e+00 1.95587217e-07
2.38168555e+00 2.07773916e-07
2.55290807e+00 2.20188185e-07
2.73644000e+00 2.32725176e-07
2.93316628e+00 2.45273025e-07
3.14403547e+00 2.57717430e-07
3.37006433e+00 2.69946364e-07
3.61234270e+00 2.81854532e-07
3.87203878e+00 2.93347213e-07
4.15040476e+00 3.04343235e-07
4.44878283e+00 3.14776929e-07
4.76861170e+00 3.24599035e-07
5.11143348e+00 3.33776650e-07
5.47890118e+00 3.42292352e-07
5.87278661e+00 3.50142724e-07
6.29498899e+00 3.57336463e-07
6.74754405e+00 3.63892285e-07
7.23263390e+00 3.69836790e-07
7.75259749e+00 3.75202410e-07
8.30994195e+00 3.80025548e-07
8.90735464e+00 3.84344948e-07
9.54771611e+00 3.88200329e-07
1.02341140e+01 3.91631281e-07
1.09698580e+01 3.94676416e-07
1.17584955e+01 3.97372736e-07
1.26038293e+01 3.99755195e-07
1.35099352e+01 4.01856426e-07
1.44811823e+01 4.03706593e-07
1.55222536e+01 4.05333342e-07
1.66381689e+01 4.06761837e-07
1.78343088e+01 4.08014838e-07
1.91164408e+01 4.09112829e-07
2.04907469e+01 4.10074160e-07
2.19638537e+01 4.10915206e-07
2.35428641e+01 4.11650532e-07
2.52353917e+01 4.12293058e-07
2.70495973e+01 4.12854211e-07
2.89942285e+01 4.13344082e-07
3.10786619e+01 4.13771562e-07
3.33129479e+01 4.14144470e-07
3.57078596e+01 4.14469679e-07
3.82749448e+01 4.14753217e-07
4.10265811e+01 4.15000369e-07
4.39760361e+01 4.15215763e-07
4.71375313e+01 4.15403446e-07
5.05263107e+01 4.15566961e-07
5.41587138e+01 4.15709401e-07
5.80522552e+01 4.15833469e-07
6.22257084e+01 4.15941523e-07
6.66991966e+01 4.16035623e-07
7.14942899e+01 4.16117564e-07
7.66341087e+01 4.16188914e-07
8.21434358e+01 4.16251037e-07
8.80488358e+01 4.16305124e-07
9.43787828e+01 4.16352213e-07
1.01163798e+02 4.16393207e-07
1.08436597e+02 4.16428894e-07
1.16232247e+02 4.16459961e-07
1.24588336e+02 4.16487005e-07
1.33545156e+02 4.16510546e-07
1.43145894e+02 4.16531038e-07
1.53436841e+02 4.16548875e-07
1.64467618e+02 4.16564401e-07
1.76291412e+02 4.16577915e-07
1.88965234e+02 4.16589679e-07
2.02550194e+02 4.16599918e-07
2.17111795e+02 4.16608829e-07
2.32720248e+02 4.16616586e-07
2.49450814e+02 4.16623338e-07
2.67384162e+02 4.16629215e-07
2.86606762e+02 4.16634330e-07
3.07211300e+02 4.16638782e-07
3.29297126e+02 4.16642656e-07
3.52970730e+02 4.16646029e-07
3.78346262e+02 4.16648964e-07
4.05546074e+02 4.16651519e-07
4.34701316e+02 4.16653743e-07
4.65952567e+02 4.16655678e-07
4.99450512e+02 4.16657363e-07
5.35356668e+02 4.16658829e-07
5.73844165e+02 4.16660105e-07
6.15098579e+02 4.16661216e-07
6.59318827e+02 4.16662183e-07
7.06718127e+02 4.16663024e-07
7.57525026e+02 4.16663756e-07
8.11984499e+02 4.16664394e-07
8.70359136e+02 4.16664948e-07
9.32930403e+02 4.16665431e-07
1.00000000e+03 4.16665852e-07
