# sigma mu
1.00000000e-03 9.48609382e-15
1.07189132e-03 9.48609382e-15
1.14895100e-03 9.48609382e-15
1.23155060e-03 9.48609382e-15
1.32008840e-03 9.48609382e-15
1.41499130e-03 9.48609382e-15
1.51671689e-03 9.48609382e-15
1.62575567e-03 9.48609382e-15
1.74263339e-03 9.48609382e-15
1.86791360e-03 9.48609382e-15
2.00220037e-03 9.48609382e-15
2.14614120e-03 9.48609382e-15
2.30043012e-03 9.48609382e-15
2.46581108e-03 9.48609382e-15
2.64308149e-03 9.48609382e-15
2.83309610e-03 9.48609382e-15
3.03677112e-03 9.48609382e-15
3.25508860e-03 9.48609382e-15
3.48910121e-03 9.48609382e-15
3.73993730e-03 9.48609382e-15
4.00880633e-03 9.48609382e-15
4.29700470e-03 9.48609382e-15
4.60592204e-03 9.48609382e-15
4.93704785e-03 9.48609382e-15
5.29197874e-03 9.48609382e-15
5.67242607e-03 9.48609382e-15
6.08022426e-03 9.48609382e-15
6.51733960e-03 9.48609382e-15
6.98587975e-03 9.48609382e-15
7.48810386e-03 9.48609382e-15
8.02643352e-03 9.48609382e-15
8.60346442e-03 9.48609382e-15
9.22197882e-03 9.48609382e-15
9.88495905e-03 9.48609382e-15
1.05956018e-02 9.48609382e-15
1.13573336e-02 9.48609382e-15
1.21738273e-02 9.48609382e-15
1.30490198e-02 9.48609382e-15
1.39871310e-02 9.48609382e-15
1.49926843e-02 9.48609382e-15
1.60705282e-02 9.48609382e-15
1.72258597e-02 9.48609382e-15
1.84642494e-02 9.48609382e-15
1.97916687e-02 9.48609382e-15
2.12145178e-02 9.48609382e-15
2.27396575e-02 9.48609383e-15
2.43744415e-02 9.48609439e-15
2.61267523e-02 9.48611682e-15
2.80050389e-02 9.48667072e-15
3.00183581e-02 9.49562342e-15
3.21764175e-02 9.59553376e-15
3.44896226e-02 1.04021424e-14
3.69691271e-02 1.53100243e-14
3.96268864e-02 3.86437396e-14
4.24757155e-02 1.28144505e-13
4.55293507e-02 4.13101805e-13
4.88025158e-02 1.18548030e-12
5.23109931e-02 3.00804978e-12
5.60716994e-02 6.82573588e-12
6.01027678e-02 1.40435988e-11
6.44236351e-02 2.65335092e-11
6.90551352e-02 4.65425977e-11
7.40196000e-02 7.64978129e-11
7.93409667e-02 1.18728471e-10
8.50448934e-02 1.75154933e-10
9.11588830e-02 2.47006258e-10
9.77124154e-02 3.34625576e-10
1.04737090e-01 4.37399925e-10
1.12266777e-01 5.53820577e-10
1.20337784e-01 6.81652418e-10
1.28989026e-01 8.18176728e-10
1.38262217e-01 9.60473700e-10
1.48202071e-01 1.10572363e-09
1.58856513e-01 1.25151490e-09
1.70276917e-01 1.39613892e-09
1.82518349e-01 1.53882723e-09
1.95639834e-01 1.67986505e-09
2.09704640e-01 1.82052478e-09
2.24780583e-01 1.96281336e-09
2.40940356e-01 2.10909899e-09
2.58261876e-01 2.26173484e-09
2.76828663e-01 2.42279613e-09
2.96730241e-01 2.59398852e-09
3.18062569e-01 2.77670654e-09
3.40928507e-01 2.97217066e-09
3.65438307e-01 3.18157314e-09
3.91710149e-01 3.40619654e-09
4.19870708e-01 3.64749791e-09
4.50055768e-01 3.90715914e-09
4.82410870e-01 4.18710003e-09
5.17092024e-01 4.48944994e-09
5.54266452e-01 4.81648082e-09
5.94113398e-01 5.17051432e-09
6.36824994e-01 5.55382365e-09
6.82607183e-01 5.96855420e-09
7.31680714e-01 6.41668346e-09
7.84282206e-01 6.90002995e-09
8.40665289e-01 7.42030698e-09
9.01101825e-01 7.97920561e-09
9.65883224e-01 8.57848613e-09
1.03532184e+00 9.22005712e-09
1.10975250e+00 9.90602096e-09
1.18953407e+00 1.06386634e-08
1.27505124e+00 1.14203653e-08
1.36671636e+00 1.22534215e-08
1.46497140e+00 1.31397722e-08
1.57029012e+00 1.40806705e-08
1.68318035e+00 1.50763294e-08
1.80418641e+00 1.61255997e-08
1.93389175e+00 1.72257233e-08
2.07292178e+00 1.83721921e-08
2.22194686e+00 1.95587303e-08
2.38168555e+00 2.07774002e-08
2.55290807e+00 2.20188270e-08
2.73644000e+00 2.32725262e-08
2.93316628e+00 2.45273111e-08
3.14403547e+00 2.57717515e-08
3.37006433e+00 2.69946450e-08
3.61234270e+00 2.81854617e-08
3.87203878e+00 2.93347298e-08
4.15040476e+00 3.04343320e-08
4.44878283e+00 3.14777014e-08
4.76861170e+00 3.24599121e-08
5.11143348e+00 3.33776735e-08
5.47890118e+00 3.42292437e-08
5.87278661e+00 3.50142809e-08
6.29498899e+00 3.57336548e-08
6.74754405e+00 3.63892371e-08
7.23263390e+00 3.69836875e-08
7.75259749e+00 3.75202495e-08
8.30994195e+00 3.80025634e-08
8.90735464e+00 3.84345034e-08
9.54771611e+00 3.88200414e-08
1.02341140e+01 3.91631366e-08
1.09698580e+01 3.94676502e-08
1.17584955e+01 3.97372821e-08
1.26038293e+01 3.99755281e-08
1.35099352e+01 4.01856512e-08
1.44811823e+01 4.03706678e-08
1.55222536e+01 4.05333427e-08
1.66381689e+01 4.06761922e-08
1.78343088e+01 4.08014924e-08
1.91164408e+01 4.09112915e-08
2.04907469e+01 4.10074245e-08
2.19638537e+01 4.10915291e-08
2.35428641e+01 4.11650617e-08
2.52353917e+01 4.12293143e-08
2.70495973e+01 4.12854297e-08
2.89942285e+01 4.13344168e-08
3.10786619e+01 4.13771647e-08
3.33129479e+01 4.14144555e-08
3.57078596e+01 4.14469764e-08
3.82749448e+01 4.14753303e-08
4.10265811e+01 4.15000455e-08
4.39760361e+01 4.15215848e-08
4.71375313e+01 4.15403532e-08
5.05263107e+01 4.15567047e-08
5.41587138e+01 4.15709487e-08
5.80522552e+01 4.15833554e-08
6.22257084e+01 4.15941609e-08
6.66991966e+01 4.16035708e-08
7.14942899e+01 4.16117650e-08
7.66341087e+01 4.16188999e-08
8.21434358e+01 4.16251122e-08
8.80488358e+01 4.16305209e-08
9.43787828e+01 4.16352298e-08
1.01163798e+02 4.16393292e-08
1.08436597e+02 4.16428980e-08
1.16232247e+02 4.16460047e-08
1.24588336e+02 4.16487090e-08
1.33545156e+02 4.16510631e-08
1.43145894e+02 4.16531123e-08
1.53436841e+02 4.16548960e-08
1.64467618e+02 4.16564486e-08
1.76291412e+02 4.16578001e-08
1.88965234e+02 4.16589764e-08
2.02550194e+02 4.16600003e-08
2.17111795e+02 4.16608915e-08
2.32720248e+02 4.16616672e-08
2.49450814e+02 4.16623424e-08
2.67384162e+02 4.16629300e-08
2.86606762e+02 4.16634415e-08
3.07211300e+02 4.16638867e-08
3.29297126e+02 4.16642742e-08
3.52970730e+02 4.16646114e-08
3.78346262e+02 4.16649050e-08
4.05546074e+02 4.16651605e-08
4.34701316e+02 4.16653828e-08
4.65952567e+02 4.16655764e-08
4.99450512e+02 4.16657448e-08
5.35356668e+02 4.16658915e-08
5.73844165e+02 4.16660191e-08
6.15098579e+02 4.16661301e-08
6.59318827e+02 4.16662268e-08
7.06718127e+02 4.16663109e-08
7.57525026e+02 4.16663842e-08
8.11984499e+02 4.16664479e-08
8.70359136e+02 4.16665034e-08
9.32930403e+02 4.16665517e-08
1.00000000e+03 4.16665937e-08
