# sigma mu
1.00000000e-03 9.48609382e-15
1.07189132e-03 9.48609382e-15
1.14895100e-03 9.48609382e-15
1.23155060e-03 9.48609382e-15
1.32008840e-03 9.48609382e-15
1.41499130e-03 9.48609382e-15
1.51671689e-03 9.48609382e-15
1.62575567e-03 9.48609382e-15
1.74263339e-03 9.48609382e-15
1.86791360e-03 9.48609382e-15
2.00220037e-03 9.48609382e-15
2.14614120e-03 9.48609382e-15
2.30043012e-03 9.48609382e-15
2.46581108e-03 9.48609382e-15
2.64308149e-03 9.48609382e-15
2.83309610e-03 9.48609382e-15
3.03677112e-03 9.48609382e-15
3.25508860e-03 9.48609382e-15
3.48910121e-03 9.48609382e-15
3.73993730e-03 9.48609382e-15
4.00880633e-03 9.48609382e-15
4.29700470e-03 9.48609382e-15
4.60592204e-03 9.48609382e-15
4.93704785e-03 9.48609382e-15
5.29197874e-03 9.48609382e-15
5.67242607e-03 9.48609382e-15
6.08022426e-03 9.48609382e-15
6.51733960e-03 9.48609382e-15
6.98587975e-03 9.48609382e-15
7.48810386e-03 9.48609382e-15
8.02643352e-03 9.48609382e-15
8.60346442e-03 9.48609382e-15
9.22197882e-03 9.48609382e-15
9.88495905e-03 9.48609382e-15
1.05956018e-02 9.48609382e-15
1.13573336e-02 9.48609382e-15
1.21738273e-02 9.48609382e-15
1.30490198e-02 9.48609382e-15
1.39871310e-02 9.48609382e-15
1.49926843e-02 9.48609382e-15
1.60705282e-02 9.48609382e-15
1.72258597e-02 9.48609382e-15
1.84642494e-02 9.48609382e-15
1.97916687e-02 9.48609382e-15
2.12145178e-02 9.48609382e-15
2.27396575e-02 9.48609385e-15
2.43744415e-02 9.48609562e-15
2.61267523e-02 9.48616655e-15
2.80050389e-02 9.48791813e-15
3.00183581e-02 9.51622905e-15
3.21764175e-02 9.83217329e-15
3.44896226e-02 1.23828938e-14
3.69691271e-02 2.79029789e-14
3.96268864e-02 1.01690666e-13
4.24757155e-02 3.84716937e-13
4.55293507e-02 1.28583104e-12
4.88025158e-02 3.72830630e-12
5.23109931e-02 9.49177704e-12
5.60716994e-02 2.15643605e-11
6.01027678e-02 4.43892472e-11
6.44236351e-02 8.38858118e-11
6.90551352e-02 1.47160105e-10
7.40196000e-02 2.41886813e-10
7.93409667e-02 3.75431879e-10
8.50448934e-02 5.53868019e-10
9.11588830e-02 7.81081861e-10
9.77124154e-02 1.05815847e-09
1.04737090e-01 1.38315950e-09
1.12266777e-01 1.75131393e-09
1.20337784e-01 2.15555370e-09
1.28989026e-01 2.58728148e-09
1.38262217e-01 3.03726401e-09
1.48202071e-01 3.49658462e-09
1.58856513e-01 3.95761711e-09
1.70276917e-01 4.41495841e-09
1.82518349e-01 4.86617847e-09
1.95639834e-01 5.31217922e-09
2.09704640e-01 5.75698432e-09
2.24780583e-01 6.20694033e-09
2.40940356e-01 6.66953611e-09
2.58261876e-01 7.15221303e-09
2.76828663e-01 7.66153356e-09
2.96730241e-01 8.20289142e-09
3.18062569e-01 8.78069654e-09
3.40928507e-01 9.39880837e-09
3.65438307e-01 1.00609971e-08
3.91710149e-01 1.07713187e-08
4.19870708e-01 1.15343806e-08
4.50055768e-01 1.23555016e-08
4.82410870e-01 1.32407524e-08
5.17092024e-01 1.41968667e-08
5.54266452e-01 1.52310292e-08
5.94113398e-01 1.63505814e-08
6.36824994e-01 1.75627119e-08
6.82607183e-01 1.88742051e-08
7.31680714e-01 2.02913142e-08
7.84282206e-01 2.18197900e-08
8.40665289e-01 2.34650505e-08
9.01101825e-01 2.52324431e-08
9.65883224e-01 2.71275345e-08
1.03532184e+00 2.91563601e-08
1.10975250e+00 3.13255683e-08
1.18953407e+00 3.36423872e-08
1.27505124e+00 3.61143454e-08
1.36671636e+00 3.87487004e-08
1.46497140e+00 4.15515877e-08
1.57029012e+00 4.45269693e-08
1.68318035e+00 4.76755190e-08
1.80418641e+00 5.09936032e-08
1.93389175e+00 5.44724994e-08
2.07292178e+00 5.80979523e-08
2.22194686e+00 6.18501153e-08
2.38168555e+00 6.57038879e-08
2.55290807e+00 6.96296244e-08
2.73644000e+00 7.35941691e-08
2.93316628e+00 7.75621474e-08
3.14403547e+00 8.14974136e-08
3.37006433e+00 8.53645422e-08
3.61234270e+00 8.91302355e-08
3.87203878e+00 9.27645402e-08
4.15040476e+00 9.62417877e-08
4.44878283e+00 9.95412114e-08
4.76861170e+00 1.02647234e-07
5.11143348e+00 1.05549451e-07
5.47890118e+00 1.08242352e-07
5.87278661e+00 1.10724858e-07
6.29498899e+00 1.12999718e-07
6.74754405e+00 1.15072851e-07
7.23263390e+00 1.16952668e-07
7.75259749e+00 1.18649426e-07
8.30994195e+00 1.20174637e-07
8.90735464e+00 1.21540551e-07
9.54771611e+00 1.22759729e-07
1.02341140e+01 1.23844692e-07
1.09698580e+01 1.24807648e-07
1.17584955e+01 1.25660299e-07
1.26038293e+01 1.26413699e-07
1.35099352e+01 1.27078166e-07
1.44811823e+01 1.27663240e-07
1.55222536e+01 1.28177664e-07
1.66381689e+01 1.28629393e-07
1.78343088e+01 1.29025627e-07
1.91164408e+01 1.29372843e-07
2.04907469e+01 1.29676842e-07
2.19638537e+01 1.29942804e-07
2.35428641e+01 1.30175335e-07
2.52353917e+01 1.30378519e-07
2.70495973e+01 1.30555971e-07
2.89942285e+01 1.30710882e-07
3.10786619e+01 1.30846063e-07
3.33129479e+01 1.30963987e-07
3.57078596e+01 1.31066827e-07
3.82749448e+01 1.31156490e-07
4.10265811e+01 1.31234646e-07
4.39760361e+01 1.31302759e-07
4.71375313e+01 1.31362110e-07
5.05263107e+01 1.31413818e-07
5.41587138e+01 1.31458862e-07
5.80522552e+01 1.31498095e-07
6.22257084e+01 1.31532265e-07
6.66991966e+01 1.31562022e-07
7.14942899e+01 1.31587934e-07
7.66341087e+01 1.31610497e-07
8.21434358e+01 1.31630142e-07
8.80488358e+01 1.31647246e-07
9.43787828e+01 1.31662137e-07
1.01163798e+02 1.31675100e-07
1.08436597e+02 1.31686385e-07
1.16232247e+02 1.31696210e-07
1.24588336e+02 1.31704762e-07
1.33545156e+02 1.31712206e-07
1.43145894e+02 1.31718686e-07
1.53436841e+02 1.31724327e-07
1.64467618e+02 1.31729236e-07
1.76291412e+02 1.31733510e-07
1.88965234e+02 1.31737230e-07
2.02550194e+02 1.31740468e-07
2.17111795e+02 1.31743286e-07
2.32720248e+02 1.31745739e-07
2.49450814e+02 1.31747874e-07
2.67384162e+02 1.31749732e-07
2.86606762e+02 1.31751350e-07
3.07211300e+02 1.31752758e-07
3.29297126e+02 1.31753983e-07
3.52970730e+02 1.31755049e-07
3.78346262e+02 1.31755978e-07
4.05546074e+02 1.31756786e-07
4.34701316e+02 1.31757489e-07
4.65952567e+02 1.31758101e-07
4.99450512e+02 1.31758634e-07
5.35356668e+02 1.31759097e-07
5.73844165e+02 1.31759501e-07
6.15098579e+02 1.31759852e-07
6.59318827e+02 1.31760158e-07
7.06718127e+02 1.31760424e-07
7.57525026e+02 1.31760655e-07
8.11984499e+02 1.31760857e-07
8.70359136e+02 1.31761032e-07
9.32930403e+02 1.31761185e-07
1.00000000e+03 1.31761318e-07
