# sigma mu
4.40000000e-01 1.20815076e-08
5.85438774e-01 1.61058969e-08
7.78951270e-01 2.16645428e-08
1.03642790e+00 2.91886418e-08
1.37901155e+00 3.91007006e-08
1.83483370e+00 5.18233405e-08
2.44132453e+00 6.70958209e-08
3.24828646e+00 8.33250380e-08
4.32198374e+00 9.81896962e-08
5.75058378e+00 1.09995054e-07
7.65139709e+00 1.18341813e-07
1.01805103e+01 1.23767037e-07
1.35456034e+01 1.27101780e-07
1.80230032e+01 1.29081267e-07
2.39803748e+01 1.30231927e-07
3.19069120e+01 1.30892645e-07
4.24535078e+01 1.31269361e-07
5.64862036e+01 1.31483284e-07
7.51573041e+01 1.31604485e-07
1.00000000e+02 1.31673062e-07
