# sigma mu
1.00000000e-03 9.48609382e-15
1.07189132e-03 9.48609382e-15
1.14895100e-03 9.48609382e-15
1.23155060e-03 9.48609382e-15
1.32008840e-03 9.48609382e-15
1.41499130e-03 9.48609382e-15
1.51671689e-03 9.48609382e-15
1.62575567e-03 9.48609382e-15
1.74263339e-03 9.48609382e-15
1.86791360e-03 9.48609382e-15
2.00220037e-03 9.48609382e-15
2.14614120e-03 9.48609382e-15
2.30043012e-03 9.48609382e-15
2.46581108e-03 9.48609382e-15
2.64308149e-03 9.48609382e-15
2.83309610e-03 9.48609382e-15
3.03677112e-03 9.48609382e-15
3.25508860e-03 9.48609382e-15
3.48910121e-03 9.48609382e-15
3.73993730e-03 9.48609382e-15
4.00880633e-03 9.48609382e-15
4.29700470e-03 9.48609382e-15
4.60592204e-03 9.48609382e-15
4.93704785e-03 9.48609382e-15
5.29197874e-03 9.48609382e-15
5.67242607e-03 9.48609382e-15
6.08022426e-03 9.48609382e-15
6.51733960e-03 9.48609382e-15
6.98587975e-03 9.48609382e-15
7.48810386e-03 9.48609382e-15
8.02643352e-03 9.48609382e-15
8.60346442e-03 9.48609382e-15
9.22197882e-03 9.48609382e-15
9.88495905e-03 9.48609382e-15
1.05956018e-02 9.48609382e-15
1.13573336e-02 9.48609382e-15
1.21738273e-02 9.48609382e-15
1.30490198e-02 9.48609382e-15
1.39871310e-02 9.48609382e-15
1.49926843e-02 9.48609382e-15
1.60705282e-02 9.48609382e-15
1.72258597e-02 9.48609382e-15
1.84642494e-02 9.48609382e-15
1.97916687e-02 9.48609382e-15
2.12145178e-02 9.48609382e-15
2.27396575e-02 9.48609382e-15
2.43744415e-02 9.48609400e-15
2.61267523e-02 9.48610109e-15
2.80050389e-02 9.48627625e-15
3.00183581e-02 9.48910734e-15
3.21764175e-02 9.52070177e-15
3.44896226e-02 9.77577382e-15
3.69691271e-02 1.13277823e-14
3.96268864e-02 1.87065510e-14
4.24757155e-02 4.70091781e-14
4.55293507e-02 1.37120589e-13
4.88025158e-02 3.81368114e-13
5.23109931e-02 9.57715189e-13
5.60716994e-02 2.16497354e-12
6.01027678e-02 4.44746220e-12
6.44236351e-02 8.39711866e-12
6.90551352e-02 1.47245480e-11
7.40196000e-02 2.41972188e-11
7.93409667e-02 3.75517254e-11
8.50448934e-02 5.53953394e-11
9.11588830e-02 7.81167236e-11
9.77124154e-02 1.05824385e-10
1.04737090e-01 1.38324488e-10
1.12266777e-01 1.75139930e-10
1.20337784e-01 2.15563908e-10
1.28989026e-01 2.58736685e-10
1.38262217e-01 3.03734939e-10
1.48202071e-01 3.49666999e-10
1.58856513e-01 3.95770249e-10
1.70276917e-01 4.41504379e-10
1.82518349e-01 4.86626384e-10
1.95639834e-01 5.31226460e-10
2.09704640e-01 5.75706970e-10
2.24780583e-01 6.20702570e-10
2.40940356e-01 6.66962148e-10
2.58261876e-01 7.15229841e-10
2.76828663e-01 7.66161893e-10
2.96730241e-01 8.20297680e-10
3.18062569e-01 8.78078191e-10
3.40928507e-01 9.39889374e-10
3.65438307e-01 1.00610825e-09
3.91710149e-01 1.07714041e-09
4.19870708e-01 1.15344660e-09
4.50055768e-01 1.23555869e-09
4.82410870e-01 1.32408378e-09
5.17092024e-01 1.41969521e-09
5.54266452e-01 1.52311146e-09
5.94113398e-01 1.63506668e-09
6.36824994e-01 1.75627973e-09
6.82607183e-01 1.88742905e-09
7.31680714e-01 2.02913996e-09
7.84282206e-01 2.18198754e-09
8.40665289e-01 2.34651358e-09
9.01101825e-01 2.52325285e-09
9.65883224e-01 2.71276199e-09
1.03532184e+00 2.91564455e-09
1.10975250e+00 3.13256536e-09
1.18953407e+00 3.36424726e-09
1.27505124e+00 3.61144308e-09
1.36671636e+00 3.87487858e-09
1.46497140e+00 4.15516731e-09
1.57029012e+00 4.45270547e-09
1.68318035e+00 4.76756044e-09
1.80418641e+00 5.09936886e-09
1.93389175e+00 5.44725848e-09
2.07292178e+00 5.80980376e-09
2.22194686e+00 6.18502007e-09
2.38168555e+00 6.57039733e-09
2.55290807e+00 6.96297097e-09
2.73644000e+00 7.35942545e-09
2.93316628e+00 7.75622327e-09
3.14403547e+00 8.14974990e-09
3.37006433e+00 8.53646276e-09
3.61234270e+00 8.91303208e-09
3.87203878e+00 9.27646256e-09
4.15040476e+00 9.62418731e-09
4.44878283e+00 9.95412968e-09
4.76861170e+00 1.02647320e-08
5.11143348e+00 1.05549536e-08
5.47890118e+00 1.08242438e-08
5.87278661e+00 1.10724943e-08
6.29498899e+00 1.12999803e-08
6.74754405e+00 1.15072936e-08
7.23263390e+00 1.16952754e-08
7.75259749e+00 1.18649512e-08
8.30994195e+00 1.20174722e-08
8.90735464e+00 1.21540636e-08
9.54771611e+00 1.22759815e-08
1.02341140e+01 1.23844777e-08
1.09698580e+01 1.24807733e-08
1.17584955e+01 1.25660384e-08
1.26038293e+01 1.26413784e-08
1.35099352e+01 1.27078252e-08
1.44811823e+01 1.27663326e-08
1.55222536e+01 1.28177749e-08
1.66381689e+01 1.28629479e-08
1.78343088e+01 1.29025713e-08
1.91164408e+01 1.29372928e-08
2.04907469e+01 1.29676927e-08
2.19638537e+01 1.29942889e-08
2.35428641e+01 1.30175420e-08
2.52353917e+01 1.30378604e-08
2.70495973e+01 1.30556057e-08
2.89942285e+01 1.30710968e-08
3.10786619e+01 1.30846148e-08
3.33129479e+01 1.30964072e-08
3.57078596e+01 1.31066913e-08
3.82749448e+01 1.31156575e-08
4.10265811e+01 1.31234732e-08
4.39760361e+01 1.31302845e-08
4.71375313e+01 1.31362196e-08
5.05263107e+01 1.31413904e-08
5.41587138e+01 1.31458947e-08
5.80522552e+01 1.31498181e-08
6.22257084e+01 1.31532351e-08
6.66991966e+01 1.31562108e-08
7.14942899e+01 1.31588020e-08
7.66341087e+01 1.31610582e-08
8.21434358e+01 1.31630227e-08
8.80488358e+01 1.31647331e-08
9.43787828e+01 1.31662222e-08
1.01163798e+02 1.31675185e-08
1.08436597e+02 1.31686471e-08
1.16232247e+02 1.31696295e-08
1.24588336e+02 1.31704847e-08
1.33545156e+02 1.31712291e-08
1.43145894e+02 1.31718771e-08
1.53436841e+02 1.31724412e-08
1.64467618e+02 1.31729322e-08
1.76291412e+02 1.31733595e-08
1.88965234e+02 1.31737315e-08
2.02550194e+02 1.31740553e-08
2.17111795e+02 1.31743371e-08
2.32720248e+02 1.31745824e-08
2.49450814e+02 1.31747959e-08
2.67384162e+02 1.31749818e-08
2.86606762e+02 1.31751435e-08
3.07211300e+02 1.31752843e-08
3.29297126e+02 1.31754068e-08
3.52970730e+02 1.31755135e-08
3.78346262e+02 1.31756063e-08
4.05546074e+02 1.31756871e-08
4.34701316e+02 1.31757574e-08
4.65952567e+02 1.31758186e-08
4.99450512e+02 1.31758719e-08
5.35356668e+02 1.31759183e-08
5.73844165e+02 1.31759586e-08
6.15098579e+02 1.31759937e-08
6.59318827e+02 1.31760243e-08
7.06718127e+02 1.31760509e-08
7.57525026e+02 1.31760741e-08
8.11984499e+02 1.31760942e-08
8.70359136e+02 1.31761118e-08
9.32930403e+02 1.31761270e-08
1.00000000e+03 1.31761403e-08
