# sigma mu
4.40000000e-01 1.20815930e-09
5.85438774e-01 1.61059823e-09
7.78951270e-01 2.16646282e-09
1.03642790e+00 2.91887272e-09
1.37901155e+00 3.91007860e-09
1.83483370e+00 5.18234259e-09
2.44132453e+00 6.70959063e-09
3.24828646e+00 8.33251234e-09
4.32198374e+00 9.81897815e-09
5.75058378e+00 1.09995139e-08
7.65139709e+00 1.18341899e-08
1.01805103e+01 1.23767123e-08
1.35456034e+01 1.27101865e-08
1.80230032e+01 1.29081352e-08
2.39803748e+01 1.30232012e-08
3.19069120e+01 1.30892730e-08
4.24535078e+01 1.31269447e-08
5.64862036e+01 1.31483370e-08
7.51573041e+01 1.31604570e-08
1.00000000e+02 1.31673148e-08
