# sigma mu
4.40000000e-01 3.82051465e-09
5.85438774e-01 5.09313828e-09
7.78951270e-01 6.85093645e-09
1.03642790e+00 9.23026548e-09
1.37901155e+00 1.23647337e-08
1.83483370e+00 1.63879857e-08
2.44132453e+00 2.12175680e-08
3.24828646e+00 2.63496971e-08
4.32198374e+00 3.10503147e-08
5.75058378e+00 3.47834966e-08
7.65139709e+00 3.74229738e-08
1.01805103e+01 3.91385802e-08
1.35456034e+01 4.01931183e-08
1.80230032e+01 4.08190872e-08
2.39803748e+01 4.11829578e-08
3.19069120e+01 4.13918951e-08
4.24535078e+01 4.15110233e-08
5.64862036e+01 4.15786718e-08
7.51573041e+01 4.16169987e-08
1.00000000e+02 4.16386848e-08
