# Aln mu
1.00000000e-04 8.73114345e-10
1.27427499e-04 1.11258517e-09
1.62377674e-04 1.41773685e-09
2.06913808e-04 1.80658400e-09
2.63665090e-04 2.30208220e-09
3.35981829e-04 2.93348316e-09
4.28133240e-04 3.73806161e-09
5.45559478e-04 4.76331580e-09
6.95192796e-04 6.06977157e-09
8.85866790e-04 7.73455548e-09
1.12883789e-03 9.85594797e-09
1.43844989e-03 1.25591854e-08
1.83298071e-03 1.60038531e-08
2.33572147e-03 2.03933071e-08
2.97635144e-03 2.59866785e-08
3.79269019e-03 3.31141718e-08
4.83293024e-03 4.21965582e-08
6.15848211e-03 5.37700160e-08
7.84759970e-03 6.85177838e-08
1.00000000e-02 8.73104954e-08
