# Aln mu
1.00000000e-04 4.69778954e-10
1.27427499e-04 5.98624968e-10
1.62377674e-04 7.62810221e-10
2.06913808e-04 9.72027382e-10
2.63665090e-04 1.23862758e-09
3.35981829e-04 1.57834953e-09
4.28133240e-04 2.01124873e-09
5.45559478e-04 2.56288134e-09
6.95192796e-04 3.26581299e-09
8.85866790e-04 4.16154119e-09
1.12883789e-03 5.30294524e-09
1.43844989e-03 6.75740787e-09
1.83298071e-03 8.61079322e-09
2.33572147e-03 1.09725158e-08
2.97635144e-03 1.39819998e-08
3.79269019e-03 1.78169100e-08
4.83293024e-03 2.27036402e-08
6.15848211e-03 2.89306781e-08
7.84759970e-03 3.68656369e-08
1.00000000e-02 4.69769563e-08
