# Aln mu
1.00000000e-04 1.16143379e-10
1.27427499e-04 1.47996001e-10
1.62377674e-04 1.88585000e-10
2.06913808e-04 2.40306546e-10
2.63665090e-04 3.06214019e-10
3.35981829e-04 3.90198263e-10
4.28133240e-04 4.97217284e-10
5.45559478e-04 6.33588946e-10
6.95192796e-04 8.07363943e-10
8.85866790e-04 1.02880108e-09
1.12883789e-03 1.31097287e-09
1.43844989e-03 1.67053734e-09
1.83298071e-03 2.12872134e-09
2.33572147e-03 2.71257375e-09
2.97635144e-03 3.45656228e-09
3.79269019e-03 4.40460825e-09
4.83293024e-03 5.61267951e-09
6.15848211e-03 7.15209450e-09
7.84759970e-03 9.11373252e-09
1.00000000e-02 1.16133988e-08
